team,squad_player_count,mapped_player_count,mapped_player_share,squad_club_elo_rating,squad_club_elo_core_rating,squad_club_elo_star_rating,squad_club_elo_all_rating,mapped_only_squad_club_elo_rating,mapped_only_squad_club_elo_core_rating,mean_caps,median_caps,mean_age,expected_xi_club_elo_rating,expected_xi_mapped_only_club_elo_rating,expected_xi_selection_score,expected_xi_mapped_player_share,expected_xi_mean_caps,expected_xi_mean_age,expected_xi_formation,expected_xi_goalkeeper_club_elo_rating,expected_xi_defense_club_elo_rating,expected_xi_midfield_club_elo_rating,expected_xi_attack_club_elo_rating,group
Ivory Coast,26,24,0.9230769230769231,1770.4882161453331,1807.2292924354545,1883.9486083966667,1660.266937255,1770.4882161453336,1807.2292924354545,26.96153846153846,20.5,25.346153846153847,1781.770541103636,1789.819799804,1810.5034252756602,0.9090909090909091,30.545454545454547,25.454545454545453,4-3-3,1546.63842773,1778.9252319325,1776.46451823,1869.247680663333,E
Scotland,26,23,0.8846153846153846,1765.831038411333,1824.9808127663637,1915.69510905,1666.6768108865215,1765.831038411333,1824.9808127663637,37.42307692307692,26.5,28.73076923076923,1830.5517023254545,1843.4790771479998,1860.471005009947,0.9090909090909091,40.63636363636363,26.90909090909091,3-5-2,1822.17028809,1850.2733968100001,1837.9660400380003,1786.624023435,C
Austria,26,26,1.0,1758.763289388,1797.9771173654547,1919.5170084666668,1657.9854595476922,1758.7632893880002,1797.9771173654547,38.57692307692308,31.0,28.192307692307693,1764.705810547273,1764.705810547273,1796.8647030866248,1.0,49.81818181818182,27.90909090909091,3-5-2,1556.39904785,1808.37805176,1838.8428955080003,1618.008117675,J
United States,26,18,0.6923076923076923,1752.0684326166668,1782.5215287636363,1829.6973470033336,1724.9927435977777,1752.0684326166665,1782.5215287636363,37.0,36.5,26.423076923076923,1781.04514382,1789.0218627919999,1817.5338164464813,0.9090909090909091,48.27272727272727,25.818181818181817,4-3-3,1701.2779541,1783.8500976525,1816.0842285166666,1768.8551839200002,D
Switzerland,26,25,0.9615384615384616,1749.0248779306667,1772.5834406090908,1848.5137532566669,1679.5166259772,1749.024877930667,1772.5834406090908,43.53846153846154,28.5,27.807692307692307,1772.5834406090908,1772.5834406090908,1805.0077508599336,1.0,56.0,27.181818181818183,3-4-3,1834.76867676,1799.8559977233333,1732.100891115,1778.5592041033333,B
Uruguay,26,13,0.5,1740.648209636,1782.51653498,1932.4709879600002,1746.7051720261532,1746.7051720261532,1782.5165349799995,35.88461538461539,30.0,28.192307692307693,1811.215742631818,1874.0373360785713,1846.1832247674793,0.6363636363636364,55.81818181818182,29.09090909090909,3-5-2,1701.2779541,1884.9322509800002,1832.9485107419998,1701.2779541,H
Egypt,26,6,0.23076923076923078,1721.7909993486667,1729.2502885299998,1944.413899743333,1752.5605672216664,1752.5605672216664,1752.5605672216664,31.576923076923077,23.5,28.692307692307693,1767.5877574572726,1944.4138997433336,1799.2444152672397,0.2727272727272727,47.09090909090909,29.272727272727273,3-4-3,1701.2779541,1701.2779541,1701.2779541,1944.4138997433336,G
Uzbekistan,26,1,0.038461538461538464,1719.249682616,1725.7848566218183,1970.85388184,1970.85388184,1970.85388184,1970.85388184,34.73076923076923,31.5,27.96153846153846,1725.7848566218183,1970.85388184,1762.2198093927525,0.09090909090909091,57.09090909090909,29.181818181818183,3-5-2,1701.2779541,1791.1365966800001,1701.2779541,1701.2779541,K
Ecuador,26,12,0.46153846153846156,1707.4320800773335,1747.0790349781819,1954.2467854833333,1708.9706115716665,1708.9706115716665,1747.0790349781819,29.653846153846153,21.5,25.576923076923077,1788.6452414772727,1838.5694056928571,1818.5923897830266,0.6363636363636364,41.27272727272727,26.363636363636363,4-3-3,1701.2779541,1884.7793579099998,1744.5531819666667,1733.6809082033333,E
Saudi Arabia,26,1,0.038461538461538464,1705.662304686,1707.25661399,1767.04321289,1767.04321289,1767.04321289,1767.04321289,35.65384615384615,26.5,27.96153846153846,1707.2566139900002,1767.04321289,1744.4310690512089,0.09090909090909091,59.81818181818182,28.272727272727273,3-4-3,1701.2779541,1723.1997070300001,1701.2779541,1701.2779541,H
Colombia,26,14,0.5384615384615384,1703.5856038413333,1752.9038529827274,1890.7687988266669,1703.7504359657141,1703.7504359657141,1752.903852982727,40.07692307692308,34.5,29.576923076923077,1775.770607687273,1818.3378383085715,1810.0190490276634,0.6363636363636364,49.90909090909091,30.09090909090909,3-4-3,1701.2779541,1735.4602050766669,1757.472320555,1865.3096110033332,K
Jordan,26,1,0.038461538461538464,1702.2673339826665,1702.6271084854545,1716.11865234,1716.11865234,1716.11865234,1716.11865234,40.88461538461539,35.0,28.076923076923077,1702.6271084854545,1716.11865234,1740.9210037063988,0.09090909090909091,71.63636363636364,29.727272727272727,4-3-3,1701.2779541,1701.2779541,1701.2779541,1706.2248535133333,J
Mexico,26,10,0.38461538461538464,1689.078849284,1684.642811169091,1828.68330892,1682.979296876,1682.979296876,1682.979296876,46.73076923076923,39.5,27.5,1740.1933371800003,1808.2952575699999,1772.919293350772,0.36363636363636365,64.18181818181819,29.0,3-4-3,1701.2779541,1701.2779541,1768.149780275,1754.80525716,A
Ghana,26,23,0.8846153846153846,1680.3996093753333,1714.5915416381818,1831.2391764333333,1610.4453549591306,1680.3996093753333,1714.5915416381818,21.576923076923077,11.0,26.423076923076923,1713.3126220699996,1717.8256225587502,1739.313233789283,0.7272727272727273,21.454545454545453,26.636363636363637,4-3-3,1469.69946289,1706.5036621075,1784.7701822933334,1732.1380615233331,L
Qatar,26,1,0.038461538461538464,1679.046655272,1670.9625466072728,1367.80847168,1367.80847168,1367.80847168,1367.80847168,54.46153846153846,43.5,28.923076923076923,1701.2779541000002,,1740.0091983673194,0.0,96.27272727272727,31.636363636363637,3-4-3,1701.2779541,1701.2779541,1701.2779541,1701.2779541,B
Japan,26,21,0.8076923076923077,1676.3364746106668,1707.650168680909,1867.3612060566666,1644.1640508752382,1676.336474610667,1707.6501686809095,30.615384615384617,24.0,26.923076923076923,1736.9270019536364,1757.2978864414288,1768.6515469085746,0.6363636363636364,38.36363636363637,27.272727272727273,3-5-2,1701.2779541,1801.1420491533333,1731.8743652360001,1671.060546875,F
Czech Republic,26,13,0.5,1670.700748698,1696.0040616127271,1777.32100423,1665.9965632515382,1665.9965632515382,1696.0040616127271,27.807692307692307,22.0,27.23076923076923,1724.691117719091,1752.786914062,1758.2263580500783,0.45454545454545453,38.54545454545455,28.545454545454547,4-3-3,1759.13476562,1701.0469055175,1723.78597005,1745.6406656899999,A
Algeria,26,18,0.6923076923076923,1668.763126628,1717.4017444963638,1869.8829345733332,1613.5605400938891,1668.7631266280005,1717.4017444963638,30.384615384615383,18.5,26.46153846153846,1756.381724963636,1802.3015340166667,1788.460913603358,0.5454545454545454,45.81818181818182,27.727272727272727,4-3-3,1701.2779541,1812.65234375,1749.6710205066665,1706.4328613266669,J
Paraguay,26,7,0.2692307692307692,1666.8732177726667,1654.3624045627273,1762.9149576833333,1627.5535191128572,1627.5535191128572,1627.5535191128572,26.53846153846154,21.0,28.5,1718.088045986364,1762.9149576833333,1749.168237572434,0.2727272727272727,45.63636363636363,30.09090909090909,4-4-2,1701.2779541,1709.94100952,1736.4610900875,1706.04107666,D
DR Congo,26,22,0.8461538461538461,1653.2084228513334,1709.1856689445456,1791.1254882800001,1559.5107310895453,1653.2084228513336,1709.1856689445456,30.615384615384617,27.0,28.5,1729.796175869091,1740.4905090325,1760.480136482699,0.7272727272727273,38.72727272727273,29.0,4-3-3,1580.06860352,1745.20800781,1726.9723307266668,1761.98010254,K
South Africa,26,4,0.15384615384615385,1651.6875895173332,1633.6547296690908,1553.77705892,1515.314086915,1515.314086915,1515.314086915,18.576923076923077,11.5,26.346153846153847,1701.2779541000002,,1731.882944456172,0.0,31.727272727272727,29.181818181818183,3-4-3,1701.2779541,1701.2779541,1701.2779541,1701.2779541,A
Canada,26,16,0.6153846153846154,1649.7446370433331,1704.1467729036362,1887.2429606133335,1630.636230468125,1649.7446370433331,1704.1467729036362,36.65384615384615,27.5,26.46153846153846,1762.55336692,1836.083862304,1798.0299113240167,0.45454545454545453,48.27272727272727,28.09090909090909,3-4-3,1888.60229492,1801.1420491533333,1701.2779541,1763.6489257800001,B
Iran,26,4,0.15384615384615385,1643.216715494,1622.103537819091,1530.0610351566665,1483.5483093275,1483.5483093275,1483.5483093275,44.88461538461539,33.0,29.807692307692307,1701.2779541000002,,1735.5013124435745,0.0,67.0909090909091,31.363636363636363,4-4-2,1701.2779541,1701.2779541,1701.2779541,1701.2779541,G
South Korea,26,15,0.5769230769230769,1624.4070638019998,1687.847256747273,1885.3776448566666,1624.4070638019998,1624.4070638019998,1687.8472567472725,36.84615384615385,24.5,27.46153846153846,1749.5247247863635,1833.9565734875,1783.8634230165057,0.36363636363636365,52.36363636363637,29.272727272727273,4-4-2,1701.2779541,1776.17602539,1762.5319824224998,1694.33099365,A
Iraq,26,7,0.2692307692307692,1620.9398193339998,1591.7259521463636,1653.7311197899999,1529.124808172857,1529.124808172857,1529.124808172857,31.807692307692307,26.0,26.423076923076923,1710.7931684999996,1805.9453125,1744.4421017692878,0.09090909090909091,48.45454545454545,27.454545454545453,4-3-3,1701.2779541,1727.4447937,1701.2779541,1701.2779541,I
New Zealand,26,11,0.4230769230769231,1602.9144287106667,1567.1458740236362,1763.87076823,1567.1458740236367,1567.1458740236367,1567.1458740236367,32.46153846153846,27.0,27.615384615384617,1724.654829544545,1829.850769045,1756.2287994576463,0.18181818181818182,39.72727272727273,29.181818181818183,3-4-3,1701.2779541,1701.2779541,1735.341278075,1741.5753987633334,G
Bosnia and Herzegovina,26,25,0.9615384615384616,1599.0092447906668,1640.431418678182,1783.6205647799998,1511.9937890616002,1599.0092447906668,1640.431418678182,22.96153846153846,15.0,25.96153846153846,1656.934670187273,1652.5003417960002,1684.4150869843158,0.9090909090909091,26.09090909090909,26.727272727272727,3-4-3,1532.94165039,1736.3481038399998,1580.1207275375,1721.2708333333333,B
Tunisia,26,18,0.6923076923076923,1566.9096435546667,1626.2496337881819,1765.9984130866667,1516.505737305,1566.909643554667,1626.2496337881819,22.384615384615383,16.0,26.153846153846153,1707.3787952763635,1714.6998046879999,1732.2936977150378,0.45454545454545453,29.0,24.727272727272727,3-4-3,1701.2779541,1680.5377604166667,1733.6104125974998,1701.2779541,F
Australia,26,13,0.5,1549.5106608053331,1557.0111860772727,1621.1060791,1526.1618464523078,1526.1618464523078,1557.0111860772727,28.23076923076923,14.5,26.884615384615383,1701.2779541000002,,1724.7118557012711,0.0,27.0,27.90909090909091,5-3-2,1701.2779541,1701.2779541,1701.2779541,1701.2779541,D
Haiti,26,13,0.5,1548.20099284,1552.6055353354545,1725.2174072266669,1524.6506911076924,1524.6506911076924,1552.6055353354545,24.0,16.0,27.0,1709.7691317454546,1747.97943115,1736.6937831799971,0.18181818181818182,27.636363636363637,27.272727272727273,3-4-3,1701.2779541,1701.2779541,1715.965637205,1712.82869466,C
Panama,26,8,0.3076923076923077,1544.18087565,1487.0546653045456,1509.7495117166666,1406.72093200625,1406.72093200625,1406.72093200625,59.26923076923077,55.5,30.0,1701.2779541000002,,1738.7339685371132,0.0,86.54545454545455,31.818181818181817,3-5-2,1701.2779541,1701.2779541,1701.2779541,1701.2779541,L
Cape Verde,26,14,0.5384615384615384,1476.4666910806666,1520.8418412636363,1738.3609619133333,1460.4087437221428,1460.4087437221428,1520.8418412636363,31.73076923076923,25.0,29.23076923076923,1692.8177157300001,1670.2570800766669,1723.1469783581888,0.2727272727272727,44.09090909090909,30.545454545454547,5-3-2,1701.2779541,1737.337548826,1701.2779541,1564.59765625,H
Curaçao,26,14,0.5384615384615384,1435.6148600273334,1445.6467729063636,1631.5535481766667,1416.6389247364282,1416.6389247364282,1445.6467729063636,23.76923076923077,19.5,27.53846153846154,1706.5376642381816,1759.13476562,1736.1015851715479,0.09090909090909091,32.45454545454545,29.09090909090909,3-4-3,1701.2779541,1720.5635579399998,1701.2779541,1701.2779541,E
