team,squad_player_count,mapped_player_count,mapped_player_share,squad_player_elo_rating,squad_player_elo_core_rating,squad_player_elo_star_rating,squad_player_elo_all_rating,mapped_only_squad_player_elo_rating,mapped_only_squad_player_elo_core_rating,mean_caps,median_caps,mean_age,expected_xi_player_elo_rating,expected_xi_mapped_only_player_elo_rating,expected_xi_selection_score,expected_xi_mapped_player_share,expected_xi_mean_caps,expected_xi_mean_age,expected_xi_formation,expected_xi_goalkeeper_player_elo_rating,expected_xi_defense_player_elo_rating,expected_xi_midfield_player_elo_rating,expected_xi_attack_player_elo_rating,group
Turkey,26,26,1.0,1961.5533333333333,1994.690909090909,2088.0666666666666,1864.473076923077,1961.553333333333,1994.690909090909,37.30769230769231,31.0,27.23076923076923,1994.1727272727271,1994.1727272727271,2029.07728778726,1.0,48.36363636363637,27.545454545454547,5-3-2,1933.0,1997.9599999999998,1987.5999999999997,2025.15,D
Uruguay,26,26,1.0,1939.3600000000001,1980.6727272727273,2103.3666666666663,1839.1884615384613,1939.3600000000001,1980.6727272727273,35.88461538461539,30.0,28.192307692307693,1976.3454545454545,1976.3454545454545,2011.3662843767777,1.0,47.27272727272727,28.272727272727273,3-5-2,1823.8,2000.1000000000001,1987.2599999999998,1989.7,H
Senegal,26,26,1.0,1922.5,1956.0727272727272,2053.1,1818.1,1922.5,1956.0727272727272,37.88461538461539,30.0,26.615384615384617,1953.2363636363639,1953.2363636363639,1987.5469671688968,1.0,52.45454545454545,26.727272727272727,3-4-3,2035.5,1931.8333333333333,1923.9,1986.3333333333333,I
Ivory Coast,26,26,1.0,1907.7066666666665,1954.4636363636362,2038.7,1787.9192307692308,1907.7066666666672,1954.4636363636366,26.96153846153846,20.5,25.346153846153847,1943.9272727272726,1943.9272727272726,1976.5675835605055,1.0,39.45454545454545,26.181818181818183,5-3-2,1984.8,1942.8799999999999,1898.6333333333332,1994.05,E
Sweden,26,26,1.0,1907.66,1965.9909090909093,2061.5,1757.4884615384615,1907.66,1965.9909090909093,19.96153846153846,13.0,27.0,1937.7090909090912,1937.7090909090912,1966.5468338264282,1.0,26.90909090909091,26.09090909090909,5-3-2,1693.5,1973.92,1872.6666666666667,2066.85,F
Morocco,26,26,1.0,1906.8533333333332,1964.5454545454545,2119.5333333333333,1758.1153846153845,1906.8533333333332,1964.5454545454545,27.0,12.5,26.115384615384617,1958.7,1958.7,1989.3006651380945,1.0,38.90909090909091,26.90909090909091,5-3-2,2085.7,1955.22,1957.7,1905.4,C
Croatia,26,26,1.0,1897.0666666666666,1943.9818181818182,2157.433333333333,1801.2769230769231,1897.0666666666666,1943.9818181818182,44.61538461538461,20.5,27.884615384615383,1943.9818181818184,1943.9818181818184,1978.6391942102885,1.0,65.0909090909091,28.818181818181817,4-4-2,2081.4,2009.1499999999999,1897.5500000000002,1837.8000000000002,L
United States,26,26,1.0,1880.9,1906.609090909091,2001.0666666666668,1797.3846153846155,1880.9000000000003,1906.609090909091,37.0,36.5,26.423076923076923,1900.9363636363635,1900.9363636363635,1936.7525487450455,1.0,45.81818181818182,26.636363636363637,3-4-3,1791.4,1965.4333333333334,1907.3999999999999,1864.3333333333333,D
Austria,26,26,1.0,1861.8066666666666,1907.7727272727273,2032.1666666666667,1729.496153846154,1861.8066666666664,1907.772727272727,38.57692307692308,31.0,28.192307692307693,1866.9272727272728,1866.9272727272728,1902.3068665588312,1.0,56.54545454545455,29.0,4-4-2,1571.3,1919.55,1981.5250000000003,1680.3000000000002,J
Switzerland,26,26,1.0,1861.3466666666668,1900.9272727272728,2032.4000000000003,1757.4576923076925,1861.3466666666666,1900.9272727272728,43.53846153846154,28.5,27.807692307692307,1894.8636363636363,1894.8636363636363,1932.5214864887218,1.0,73.18181818181819,29.545454545454547,3-4-3,2011.4,1897.3999999999999,1876.25,1878.3,B
Colombia,26,26,1.0,1852.5600000000002,1896.2545454545455,2042.8333333333333,1743.4153846153845,1852.56,1896.2545454545455,40.07692307692308,34.5,29.576923076923077,1894.936363636364,1894.936363636364,1926.836251403711,1.0,33.45454545454545,28.272727272727273,4-3-3,1732.8,1889.925,1841.1666666666667,2009.4333333333332,K
Scotland,26,25,0.9615384615384616,1848.6266666666668,1897.5,2078.3333333333335,1714.388,1848.626666666667,1897.5000000000002,37.42307692307692,26.5,28.73076923076923,1888.7545454545457,1888.7545454545457,1922.6568338606085,1.0,50.0,29.272727272727273,3-5-2,1693.9,1952.4666666666665,1952.78,1730.5500000000002,C
Japan,26,26,1.0,1834.5133333333333,1864.4727272727273,1927.9333333333334,1710.7615384615385,1834.5133333333333,1864.4727272727273,30.615384615384617,24.0,26.923076923076923,1851.3545454545454,1851.3545454545454,1881.4361926699871,1.0,29.0,27.363636363636363,4-4-2,1825.8,1849.4499999999998,1903.375,1763.9,F
Mexico,26,26,1.0,1829.0466666666666,1867.9636363636362,1975.0333333333335,1711.7653846153846,1829.0466666666664,1867.9636363636362,46.73076923076923,39.5,27.5,1830.9545454545455,1830.9545454545455,1865.7241577754116,1.0,56.36363636363637,28.363636363636363,4-3-3,1435.1,1853.8500000000001,1815.0333333333335,1948.3,A
Ecuador,26,26,1.0,1816.1399999999999,1877.9727272727273,2103.1,1691.1692307692306,1816.14,1877.9727272727278,29.653846153846153,21.5,25.576923076923077,1871.8545454545456,1871.8545454545456,1903.3798220826545,1.0,39.09090909090909,25.272727272727273,5-3-2,1619.4,1995.9,1814.0333333333335,1774.7,E
Algeria,26,24,0.9230769230769231,1791.7733333333333,1848.3,1994.1666666666667,1620.7125000000003,1791.7733333333338,1848.3000000000002,30.384615384615383,18.5,26.46153846153846,1850.390909090909,1864.9900000000002,1883.7471444243156,0.9090909090909091,51.45454545454545,27.818181818181817,3-5-2,1704.4,1955.1333333333332,1816.7,1850.5,J
Canada,26,25,0.9615384615384616,1786.1066666666666,1821.1181818181817,1953.8,1684.34,1786.1066666666668,1821.1181818181817,36.65384615384615,27.5,26.46153846153846,1815.9181818181817,1827.0700000000002,1849.172534612885,0.9090909090909091,39.81818181818182,26.545454545454547,4-3-3,1789.3,1845.4499999999998,1768.8,1832.5333333333335,B
Saudi Arabia,26,9,0.34615384615384615,1775.3133333333333,1801.1,1935.2333333333333,1822.5888888888887,1822.5888888888887,1822.5888888888887,35.65384615384615,26.5,27.96153846153846,1816.1181818181822,1879.957142857143,1848.0217442997084,0.6363636363636364,43.09090909090909,27.818181818181817,5-3-2,1704.4,1907.52,1764.3,1721.2,H
Paraguay,26,25,0.9615384615384616,1766.1,1811.3636363636363,1953.3666666666668,1669.5159999999998,1766.1,1811.3636363636363,26.53846153846154,21.0,28.5,1813.0,1823.86,1842.7247974565196,0.9090909090909091,36.90909090909091,29.09090909090909,3-4-3,1702.1,1825.2666666666664,1887.9,1737.8333333333333,D
Czech Republic,26,26,1.0,1763.1333333333334,1794.5181818181818,1912.7666666666667,1656.069230769231,1763.1333333333337,1794.5181818181818,27.807692307692307,22.0,27.23076923076923,1784.590909090909,1784.590909090909,1817.3513893414026,1.0,38.81818181818182,28.90909090909091,5-3-2,2011.8,1759.36,1742.9666666666665,1796.5,A
South Korea,26,25,0.9615384615384616,1760.0600000000002,1797.3545454545456,2023.0,1659.8599999999997,1760.0600000000002,1797.3545454545456,36.84615384615385,24.5,27.46153846153846,1798.109090909091,1807.48,1834.0332601737332,0.9090909090909091,60.27272727272727,28.90909090909091,3-4-3,1661.6,1860.4333333333334,1843.5,1720.7666666666667,A
Ghana,26,24,0.9230769230769231,1725.8866666666665,1775.2545454545455,1959.9666666666665,1629.1833333333334,1725.8866666666663,1775.2545454545455,21.576923076923077,11.0,26.423076923076923,1774.4272727272726,1781.4299999999998,1801.8834288278495,0.9090909090909091,25.272727272727273,27.818181818181817,4-3-3,1704.4,1701.1499999999999,1868.6000000000001,1801.3,L
DR Congo,26,26,1.0,1725.3600000000001,1788.790909090909,1938.5,1594.4423076923074,1725.36,1788.790909090909,30.615384615384617,27.0,28.5,1770.8,1770.8,1798.845815554125,1.0,35.63636363636363,27.727272727272727,5-3-2,1505.0,1789.8799999999999,1832.3333333333333,1763.6999999999998,K
Panama,26,25,0.9615384615384616,1665.68,1717.090909090909,1866.0333333333335,1558.62,1665.68,1717.090909090909,59.26923076923077,55.5,30.0,1710.9454545454544,1711.6,1743.8984539120686,0.9090909090909091,61.45454545454545,29.09090909090909,5-3-2,1704.4,1766.4399999999998,1724.0666666666666,1555.8,L
Australia,26,26,1.0,1653.6066666666666,1703.3181818181818,1882.8333333333333,1543.9384615384613,1653.6066666666663,1703.3181818181815,28.23076923076923,14.5,26.884615384615383,1702.272727272727,1702.272727272727,1730.7243711856433,1.0,35.27272727272727,26.545454545454547,4-4-2,1906.3,1810.35,1625.9750000000001,1536.6999999999998,D
Bosnia and Herzegovina,26,26,1.0,1652.2733333333333,1692.3636363636363,1809.6666666666667,1557.8115384615387,1652.2733333333333,1692.3636363636363,22.96153846153846,15.0,25.96153846153846,1692.3636363636363,1692.3636363636363,1718.875959327335,1.0,25.272727272727273,26.90909090909091,5-3-2,1617.2,1749.4599999999998,1621.8,1693.05,B
Cape Verde,26,25,0.9615384615384616,1617.0666666666666,1676.2636363636366,1857.4000000000003,1471.98,1617.0666666666664,1676.2636363636361,31.73076923076923,25.0,29.23076923076923,1664.6090909090906,1660.6299999999999,1693.2814078562835,0.9090909090909091,30.636363636363637,28.363636363636363,4-4-2,1832.2,1754.3,1700.8750000000002,1328.9,H
New Zealand,26,26,1.0,1589.22,1626.5636363636365,1775.3999999999999,1485.8384615384616,1589.2200000000003,1626.5636363636365,32.46153846153846,27.0,27.615384615384617,1617.4181818181821,1617.4181818181821,1649.1180508859345,1.0,37.90909090909091,28.0,5-3-2,1737.8,1566.3,1645.6666666666667,1642.65,G
Tunisia,26,21,0.8076923076923077,1588.5533333333333,1627.4272727272728,1729.1666666666667,1461.7285714285713,1588.553333333333,1627.4272727272726,22.384615384615383,16.0,26.153846153846153,1681.9818181818184,1669.1714285714284,1706.940496246049,0.6363636363636364,27.363636363636363,26.272727272727273,3-5-2,1704.4,1727.9333333333334,1687.58,1587.85,F
Iran,26,21,0.8076923076923077,1577.6333333333334,1630.0,1784.7333333333333,1502.3285714285714,1577.633333333334,1630.0000000000002,44.88461538461539,33.0,29.807692307692307,1702.3272727272729,1700.6000000000001,1734.4249438502827,0.5454545454545454,65.9090909090909,30.181818181818183,4-3-3,1665.6,1697.1000000000001,1671.1333333333332,1752.7333333333336,G
Egypt,26,23,0.8846153846153846,1576.24,1627.0363636363638,1889.1000000000001,1436.178260869565,1576.24,1627.0363636363634,31.576923076923077,23.5,28.692307692307693,1683.9454545454546,1676.275,1716.8263076058108,0.7272727272727273,45.09090909090909,29.727272727272727,3-4-3,1486.3,1635.7,1621.1499999999999,1881.8,G
Qatar,26,19,0.7307692307692307,1571.9933333333333,1616.3545454545456,1713.0333333333335,1484.1157894736843,1571.993333333333,1616.3545454545454,54.46153846153846,43.5,28.923076923076923,1674.436363636364,1638.48,1707.91935834153,0.45454545454545453,68.9090909090909,29.90909090909091,4-3-3,1721.3,1705.875,1585.8999999999999,1705.4333333333334,B
Curaçao,26,25,0.9615384615384616,1532.8533333333332,1561.8727272727272,1674.8666666666668,1448.14,1532.8533333333335,1561.8727272727272,23.76923076923077,19.5,27.53846153846154,1562.8545454545454,1548.6999999999998,1589.511250686801,0.9090909090909091,21.272727272727273,27.727272727272727,4-3-3,1704.4,1630.5500000000002,1437.7666666666667,1550.5,E
Uzbekistan,26,20,0.7692307692307693,1525.8,1578.2454545454545,1845.9333333333334,1458.92,1525.8,1578.2454545454545,34.73076923076923,31.5,27.96153846153846,1705.8090909090906,1707.5,1736.8541184156463,0.45454545454545453,38.63636363636363,26.181818181818183,4-4-2,1704.4,1793.875,1658.5,1625.0,K
South Africa,26,25,0.9615384615384616,1489.9866666666667,1509.5272727272727,1562.8,1400.912,1489.986666666667,1509.5272727272727,18.576923076923077,11.5,26.346153846153847,1527.436363636364,1509.74,1553.5662474972605,0.9090909090909091,25.818181818181817,26.636363636363637,5-3-2,1535.2,1563.3,1481.8666666666668,1502.25,A
Haiti,26,24,0.9230769230769231,1483.5133333333333,1563.0181818181818,1654.8,1335.8708333333334,1483.5133333333333,1563.0181818181818,24.0,16.0,27.0,1548.0545454545454,1513.3111111111111,1575.6019305736168,0.8181818181818182,31.363636363636363,28.454545454545453,4-3-3,1217.1,1629.6499999999999,1469.8,1627.8333333333333,C
Iraq,26,20,0.7692307692307693,1419.0266666666669,1473.2545454545455,1600.2333333333333,1296.7699999999998,1419.0266666666664,1473.2545454545455,31.807692307692307,26.0,26.423076923076923,1629.5818181818183,1539.8,1659.054353083383,0.45454545454545453,36.09090909090909,27.181818181818183,4-3-3,1704.4,1654.7500000000002,1551.2333333333333,1649.4333333333334,I
Jordan,26,10,0.38461538461538464,1357.88,1231.8727272727274,1450.2,1184.6200000000001,1184.6200000000001,1184.6200000000001,40.88461538461539,35.0,28.076923076923077,1704.4,,1741.1071979715268,0.0,62.90909090909091,29.636363636363637,4-3-3,1704.4,1704.4,1704.4000000000003,1704.4000000000003,J
